rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0000.jpg,0.0,0.5431,0.4862,0.3333,1.0,13,2,False,False
76,frame_0093.jpg,37.2,0.5402,0.5844,0.6667,0.24,7,4,False,False
77,frame_0074.jpg,29.6,0.54,0.5799,0.1667,1.0,9,1,False,False
78,frame_0072.jpg,28.8,0.5393,0.5786,0.1667,1.0,10,1,False,False
79,frame_0027.jpg,10.8,0.539,0.3779,0.5,1.0,9,3,False,False
80,frame_0191.jpg,76.4,0.5387,0.5135,0.8333,0.16,11,5,False,False
81,frame_0088.jpg,35.2,0.5383,0.5005,0.6667,0.44,12,4,False,False
82,frame_0077.jpg,30.8,0.5356,0.6191,0.1667,0.88,11,1,False,False
83,frame_0384.jpg,153.6,0.5356,0.7072,0.5,0.16,18,3,False,False
84,frame_0193.jpg,77.2,0.5336,0.5712,0.6667,0.24,9,4,False,False
85,frame_0231.jpg,92.4,0.5315,0.699,0.5,0.16,13,3,False,False
86,frame_0020.jpg,8.0,0.5307,0.4614,0.3333,1.0,8,2,False,False
87,frame_0206.jpg,82.4,0.5301,0.4561,0.5,0.76,8,3,False,False
88,frame_0232.jpg,92.8,0.5299,0.6797,0.5,0.2,12,3,False,False
89,frame_0079.jpg,31.6,0.5275,0.635,0.1667,0.8,14,1,False,False
90,frame_0298.jpg,119.2,0.5273,0.6306,0.3333,0.56,9,2,False,False
91,frame_0393.jpg,157.2,0.5266,0.6371,0.6667,0.04,9,4,False,False
92,frame_0377.jpg,150.8,0.5245,0.6009,0.6667,0.12,13,4,False,False
93,frame_0289.jpg,115.6,0.5243,0.4447,0.5,0.76,11,3,False,False
94,frame_0090.jpg,36.0,0.5239,0.5038,0.6667,0.36,12,4,False,False
95,frame_0012.jpg,4.8,0.5172,0.4345,0.3333,1.0,6,2,False,False
96,frame_0223.jpg,89.2,0.5149,0.7659,0.3333,0.16,14,2,False,False
97,frame_0203.jpg,81.2,0.5133,0.5706,0.3333,0.64,7,2,False,False
98,frame_0229.jpg,91.6,0.5126,0.6932,0.5,0.08,14,3,False,False
99,frame_0174.jpg,69.6,0.512,0.696,0.3333,0.32,11,2,False,False
100,frame_0286.jpg,114.4,0.5111,0.4661,0.5,0.64,11,3,False,False
101,frame_0086.jpg,34.4,0.5103,0.6127,0.3333,0.52,7,2,False,False
102,frame_0177.jpg,70.8,0.5097,0.6394,0.5,0.2,12,3,False,False
